N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
0,52,25812.160428245323,2.098,164.882,108.0,28.414,35.347,108.09,28.414,35.34697
0,53,25812.160428245323,2.098,164.882,110.0,28.38,35.343,110.09,28.38,35.342987
0,54,25812.160428245323,2.098,164.882,112.0,28.368,35.342,112.09,28.368,35.341984
0,55,25812.160428245323,2.098,164.882,114.0,28.362,35.344,114.09,28.362,35.343964
0,56,25812.160428245323,2.098,164.882,116.0,28.358,35.344,116.09,28.358,35.343975
0,57,25812.160428245323,2.098,164.882,118.0,28.355,35.347,118.09,28.355,35.34699
0,58,25812.160428245323,2.098,164.882,120.0,28.347,35.347,120.09,28.347,35.346973
0,59,25812.160428245323,2.098,164.882,122.0,28.345,35.348,122.09,28.345,35.347984
0,60,25812.160428245323,2.098,164.882,124.0,28.346,35.351,124.09,28.346,35.350975
0,61,25812.160428245323,2.098,164.882,126.0,28.342,35.352,126.09,28.342,35.35196
0,62,25812.160428245323,2.098,164.882,128.0,28.321,35.347,128.09,28.321,35.346954
0,63,25812.160428245323,2.098,164.882,130.0,28.278,35.339,130.09,28.278,35.33897
0,64,25812.160428245323,2.098,164.882,132.1,27.994,35.298,132.19,27.994,35.297974
0,65,25812.160428245323,2.098,164.882,133.7,27.132,35.156,133.79,27.132,35.155975
0,66,25812.160428245323,2.098,164.882,136.0,26.254,35.017,136.09,26.254,35.016953
0,67,25812.160428245323,2.098,164.882,138.0,25.855,34.936,138.09,25.855,34.93597
0,68,25812.160428245323,2.098,164.882,140.1,25.663,34.892,140.19,25.663,34.89197
0,69,25812.160428245323,2.098,164.882,142.2,25.331,34.837,142.29,25.331,34.836964
0,70,25812.160428245323,2.098,164.882,143.9,25.07,34.946,143.98999,25.07,34.94598
0,71,25812.160428245323,2.098,164.882,146.0,24.893,35.079,146.09,24.893,35.07896
0,72,25812.160428245323,2.098,164.882,147.9,24.266,35.094,147.98999,24.266,35.093967
0,73,25812.160428245323,2.098,164.882,149.9,23.851,35.066,149.98999,23.851,35.065975
0,74,25812.160428245323,2.098,164.882,152.0,23.455,35.037,152.09,23.455,35.03697
0,75,25812.160428245323,2.098,164.882,154.1,22.363,34.933,154.19,22.363,34.93297
0,76,25812.160428245323,2.098,164.882,156.0,21.597,34.879,156.09,21.597,34.87897
0,77,25812.160428245323,2.098,164.882,158.1,20.633,34.85,158.19,20.633,34.84996
0,78,25812.160428245323,2.098,164.882,160.1,20.166,34.833,160.19,20.166,34.83297
0,79,25812.160428245323,2.098,164.882,161.8,19.633,34.847,161.89,19.633,34.846962
0,80,25812.160428245323,2.098,164.882,163.9,19.211,34.844,163.98999,19.211,34.843967
0,81,25812.160428245323,2.098,164.882,166.0,18.947,34.822,166.09,18.947,34.82196
0,82,25812.160428245323,2.098,164.882,168.0,18.538,34.783,168.09,18.538,34.782974
0,83,25812.160428245323,2.098,164.882,170.1,18.243,34.752,170.19,18.243,34.751965
0,84,25812.160428245323,2.098,164.882,172.0,17.981,34.735,172.09,17.981,34.734962
0,85,25812.160428245323,2.098,164.882,173.9,17.488,34.713,173.98999,17.488,34.71297
0,86,25812.160428245323,2.098,164.882,176.0,16.906,34.728,176.09,16.906,34.727966
